Region,ItemDescription,TransactionDate,Length8Foot,Length10Foot,Length12Foot,Length14Foot,Length16Foot,Length18Foot,Length20Foot
Central,2x6 #1,2024-02-08,300,365,380,365,380,355,370
Central,2x8 #1,2024-02-08,365,440,445,365,380,365,425
Central,2x10 #1,2024-02-08,325,520,450,335,335,385,730
Central,2x12 #1,2024-02-08,585,635,580,520,585,600,750
Central,2x4 #2,2024-02-08,340,330,345,370,395,340,375
Central,2x6 #2,2024-02-08,265,345,355,345,350,340,330
Central,2x8 #2,2024-02-08,290,295,325,325,325,285,310
Central,2x10 #2,2024-02-08,230,275,290,285,280,235,260
Central,2x12 #2,2024-02-08,350,465,530,475,485,465,690
East,2x4 #1,2024-02-08,395,400,405,450,450,375,400
East,2x6 #1,2024-02-08,320,360,355,345,360,345,320
East,2x8 #1,2024-02-08,440,440,445,350,370,370,420
East,2x10 #1,2024-02-08,380,455,410,340,355,370,685
East,2x12 #1,2024-02-08,590,610,580,555,580,635,830
East,2x4 #2,2024-02-08,370,380,390,415,430,350,365
East,2x6 #2,2024-02-08,255,345,345,335,350,340,305
East,2x8 #2,2024-02-08,340,340,350,340,350,320,325
East,2x10 #2,2024-02-08,220,320,330,335,300,270,300
East,2x12 #2,2024-02-08,370,460,555,480,465,425,685
West,2x4 #1,2024-02-15,385,335,400,400,475,405,445
West,2x6 #1,2024-02-15,295,365,380,360,370,360,390
West,2x8 #1,2024-02-15,375,390,410,370,395,390,460
West,2x10 #1,2024-02-15,310,395,370,295,355,295,675
West,2x12 #1,2024-02-15,640,635,595,565,655,645,875
West,2x4 #2,2024-02-15,350,330,345,365,410,325,390
West,2x6 #2,2024-02-15,285,360,375,355,370,350,360
West,2x8 #2,2024-02-15,300,305,330,355,355,335,365
West,2x10 #2,2024-02-15,240,260,265,275,275,210,250
West,2x12 #2,2024-02-15,470,525,530,505,510,535,745
Central,2x4 #1,2024-02-15,400,385,420,440,475,420,445
Central,2x6 #1,2024-02-15,310,365,385,375,390,360,380
Central,2x8 #1,2024-02-15,370,445,445,365,385,370,425
Central,2x10 #1,2024-02-15,320,520,450,335,345,385,690
Central,2x12 #1,2024-02-15,610,660,605,545,615,625,775
Central,2x4 #2,2024-02-15,355,335,345,375,400,350,375
Central,2x6 #2,2024-02-15,285,355,365,360,360,350,375
Central,2x8 #2,2024-02-15,305,310,340,345,345,300,330
Central,2x10 #2,2024-02-15,235,280,300,295,290,240,270
Central,2x12 #2,2024-02-15,370,485,550,495,505,480,710
East,2x4 #1,2024-02-15,405,410,410,455,455,385,405
East,2x6 #1,2024-02-15,335,370,365,365,375,360,335
East,2x8 #1,2024-02-15,440,440,445,365,380,380,430
East,2x10 #1,2024-02-15,385,455,410,350,370,370,670
East,2x12 #1,2024-02-15,590,610,590,565,590,635,830
East,2x4 #2,2024-02-15,380,380,390,420,435,355,370
East,2x6 #2,2024-02-15,270,350,355,345,360,350,315
East,2x8 #2,2024-02-15,350,355,365,355,365,335,340
East,2x10 #2,2024-02-15,230,325,335,340,310,275,305
East,2x12 #2,2024-02-15,385,475,565,495,480,440,700
West,2x4 #1,2024-02-22,385,335,395,395,470,405,445
West,2x6 #1,2024-02-22,310,375,395,375,390,365,395
West,2x8 #1,2024-02-22,385,400,410,375,395,375,460
West,2x10 #1,2024-02-22,310,395,370,290,350,295,655
West,2x12 #1,2024-02-22,660,660,610,580,670,660,875
West,2x4 #2,2024-02-22,365,330,350,375,410,325,390
West,2x6 #2,2024-02-22,300,370,390,370,385,360,375
West,2x8 #2,2024-02-22,315,320,345,365,365,350,380
West,2x10 #2,2024-02-22,240,260,270,275,275,210,250
West,2x12 #2,2024-02-22,490,540,545,525,525,555,760
Central,2x4 #1,2024-02-22,400,375,410,435,470,420,440
Central,2x6 #1,2024-02-22,310,365,385,380,390,365,380
Central,2x8 #1,2024-02-22,375,445,445,365,385,370,435
Central,2x10 #1,2024-02-22,315,500,450,330,355,385,670
Central,2x12 #1,2024-02-22,625,670,615,555,630,635,785
Central,2x4 #2,2024-02-22,370,340,345,380,405,360,375
Central,2x6 #2,2024-02-22,295,355,375,370,370,360,350
Central,2x8 #2,2024-02-22,310,320,350,355,355,310,340
Central,2x10 #2,2024-02-22,235,285,305,300,295,245,275
Central,2x12 #2,2024-02-22,380,500,565,505,515,490,725
East,2x4 #1,2024-02-22,420,415,415,465,465,395,415
East,2x6 #1,2024-02-22,345,380,375,375,390,365,345
East,2x8 #1,2024-02-22,440,445,450,375,390,385,435
East,2x10 #1,2024-02-22,390,460,420,360,380,375,660
East,2x12 #1,2024-02-22,595,610,595,575,600,635,830
East,2x4 #2,2024-02-22,400,390,395,425,445,370,375
East,2x6 #2,2024-02-22,285,355,365,360,375,355,325
East,2x8 #2,2024-02-22,360,370,380,365,375,350,355
East,2x10 #2,2024-02-22,240,335,345,350,320,285,315
East,2x12 #2,2024-02-22,390,490,580,510,495,450,720
East,2x4 #1,2024-02-29,425,415,415,470,465,395,415
East,2x6 #1,2024-02-29,355,390,390,390,410,370,345
East,2x8 #1,2024-02-29,445,450,455,385,400,390,435
East,2x10 #1,2024-02-29,395,460,425,370,385,375,660
East,2x12 #1,2024-02-29,595,610,600,575,600,635,830
East,2x4 #2,2024-02-29,410,395,400,435,445,375,380
East,2x6 #2,2024-02-29,295,365,375,370,385,365,335
East,2x8 #2,2024-02-29,370,380,390,375,385,360,365
East,2x10 #2,2024-02-29,245,340,350,360,330,290,320
East,2x12 #2,2024-02-29,400,500,595,525,510,460,730
Central,2x4 #1,2024-02-29,400,375,410,435,470,420,440
Central,2x6 #1,2024-02-29,320,375,390,390,400,380,385
Central,2x8 #1,2024-02-29,375,445,445,370,390,370,435
Central,2x10 #1,2024-02-29,315,500,450,335,355,385,670
Central,2x12 #1,2024-02-29,645,685,630,575,645,650,800
Central,2x4 #2,2024-02-29,385,345,350,380,405,370,375
Central,2x6 #2,2024-02-29,300,360,375,380,375,370,360
Central,2x8 #2,2024-02-29,315,325,355,360,360,315,345
Central,2x10 #2,2024-02-29,240,290,305,305,305,250,280
Central,2x12 #2,2024-02-29,395,515,580,520,530,505,740
West,2x4 #1,2024-02-29,410,355,420,415,485,415,460
West,2x6 #1,2024-02-29,330,390,410,395,410,375,405
West,2x8 #1,2024-02-29,390,410,420,385,400,375,465
West,2x10 #1,2024-02-29,315,400,375,295,355,295,655
West,2x12 #1,2024-02-29,680,680,625,590,685,670,885
West,2x4 #2,2024-02-29,395,345,360,385,425,330,395
West,2x6 #2,2024-02-29,320,385,410,390,405,375,390
West,2x8 #2,2024-02-29,330,330,355,375,380,360,390
West,2x10 #2,2024-02-29,245,270,280,285,285,220,260
West,2x12 #2,2024-02-29,515,565,570,550,550,580,780
West,2x4 #1,2024-03-07,425,360,425,420,490,420,465
West,2x6 #1,2024-03-07,340,400,420,405,420,385,410
West,2x8 #1,2024-03-07,395,420,430,390,410,385,475
West,2x10 #1,2024-03-07,320,405,380,300,360,300,660
West,2x12 #1,2024-03-07,690,685,630,600,700,680,890
West,2x4 #2,2024-03-07,420,360,370,390,430,335,400
West,2x6 #2,2024-03-07,330,395,420,400,415,380,400
West,2x8 #2,2024-03-07,340,340,365,385,390,370,400
West,2x10 #2,2024-03-07,250,275,285,290,290,225,265
West,2x12 #2,2024-03-07,530,585,590,570,570,590,790
East,2x4 #1,2024-03-07,435,415,405,460,455,405,425
East,2x6 #1,2024-03-07,360,390,395,395,420,380,360
East,2x8 #1,2024-03-07,445,455,460,390,410,395,440
East,2x10 #1,2024-03-07,400,460,425,375,390,380,675
East,2x12 #1,2024-03-07,595,610,600,575,615,650,840
East,2x4 #2,2024-03-07,425,395,395,435,435,375,380
East,2x6 #2,2024-03-07,295,365,380,375,390,355,365
East,2x8 #2,2024-03-07,370,380,390,375,390,355,365
East,2x10 #2,2024-03-07,250,340,350,365,340,300,330
East,2x12 #2,2024-03-07,400,505,595,540,525,485,755
Central,2x4 #1,2024-03-07,415,375,395,435,465,420,440
Central,2x6 #1,2024-03-07,320,385,400,400,400,385,385
Central,2x8 #1,2024-03-07,380,450,450,375,395,375,440
Central,2x10 #1,2024-03-07,315,500,420,345,365,385,670
Central,2x12 #1,2024-03-07,645,685,630,575,645,650,800
Central,2x4 #2,2024-03-07,400,345,350,380,400,370,375
Central,2x6 #2,2024-03-07,300,360,375,380,375,375,365
Central,2x8 #2,2024-03-07,320,330,360,365,365,320,350
Central,2x10 #2,2024-03-07,240,290,305,305,310,250,280
Central,2x12 #2,2024-03-07,410,530,595,535,545,520,755
West,2x4 #1,2024-03-14,430,360,425,420,490,415,465
West,2x6 #1,2024-03-14,345,400,425,405,420,380,410
West,2x8 #1,2024-03-14,395,420,430,390,410,385,470
West,2x10 #1,2024-03-14,315,400,375,300,360,295,640
West,2x12 #1,2024-03-14,710,690,630,600,700,680,890
West,2x4 #2,2024-03-14,415,355,365,385,430,335,400
West,2x6 #2,2024-03-14,335,395,420,400,415,375,400
West,2x8 #2,2024-03-14,340,340,365,385,390,370,400
West,2x10 #2,2024-03-14,250,275,285,290,290,225,265
West,2x12 #2,2024-03-14,540,605,610,585,585,590,810
Central,2x4 #1,2024-03-14,425,375,400,435,455,420,440
Central,2x6 #1,2024-03-14,325,385,400,400,410,385,385
Central,2x8 #1,2024-03-14,370,440,435,370,400,380,445
Central,2x10 #1,2024-03-14,325,500,395,345,365,385,660
Central,2x12 #1,2024-03-14,645,685,630,565,655,650,800
Central,2x4 #2,2024-03-14,410,340,345,380,400,365,375
Central,2x6 #2,2024-03-14,290,360,375,380,375,370,365
Central,2x8 #2,2024-03-14,310,320,360,365,365,330,350
Central,2x10 #2,2024-03-14,245,295,305,305,310,250,285
Central,2x12 #2,2024-03-14,410,530,600,540,545,530,775
East,2x4 #1,2024-03-14,450,405,395,455,445,405,430
East,2x6 #1,2024-03-14,375,390,395,385,420,380,360
East,2x8 #1,2024-03-14,445,455,465,390,410,405,455
East,2x10 #1,2024-03-14,400,455,410,380,390,390,675
East,2x12 #1,2024-03-14,605,605,600,575,620,650,860
East,2x4 #2,2024-03-14,435,385,385,435,430,385,380
East,2x6 #2,2024-03-14,300,365,380,370,390,370,340
East,2x8 #2,2024-03-14,360,375,390,375,390,345,370
East,2x10 #2,2024-03-14,250,340,345,365,340,310,330
East,2x12 #2,2024-03-14,400,505,595,540,525,500,775
West,2x4 #1,2024-03-21,430,360,425,420,490,405,460
West,2x6 #1,2024-03-21,345,395,425,405,420,375,410
West,2x8 #1,2024-03-21,390,420,430,385,400,380,465
West,2x10 #1,2024-03-21,320,400,380,310,365,295,635
West,2x12 #1,2024-03-21,710,695,630,600,700,680,890
West,2x4 #2,2024-03-21,415,340,350,370,415,325,390
West,2x6 #2,2024-03-21,320,375,405,385,400,360,385
West,2x8 #2,2024-03-21,335,335,360,375,385,365,395
West,2x10 #2,2024-03-21,250,275,285,290,290,225,265
West,2x12 #2,2024-03-21,545,610,615,590,590,595,815
Central,2x4 #1,2024-03-21,425,385,400,435,465,420,440
Central,2x6 #1,2024-03-21,325,385,400,400,410,385,385
Central,2x8 #1,2024-03-21,375,435,420,370,395,375,445
Central,2x10 #1,2024-03-21,325,485,400,345,365,380,650
Central,2x12 #1,2024-03-21,645,685,630,565,645,660,800
Central,2x4 #2,2024-03-21,410,330,335,365,390,350,365
Central,2x6 #2,2024-03-21,275,350,370,375,365,360,355
Central,2x8 #2,2024-03-21,305,315,350,360,360,325,345
Central,2x10 #2,2024-03-21,240,300,305,305,310,255,285
Central,2x12 #2,2024-03-21,410,530,600,540,545,535,785
East,2x4 #1,2024-03-21,455,395,385,445,430,405,430
East,2x6 #1,2024-03-21,375,375,390,380,420,365,355
East,2x8 #1,2024-03-21,445,450,465,380,400,400,465
East,2x10 #1,2024-03-21,400,450,400,380,390,385,670
East,2x12 #1,2024-03-21,605,605,600,575,620,650,860
East,2x4 #2,2024-03-21,440,375,375,425,420,385,380
East,2x6 #2,2024-03-21,300,360,375,365,390,360,325
East,2x8 #2,2024-03-21,360,370,385,370,380,340,360
East,2x10 #2,2024-03-21,250,340,345,365,340,310,330
East,2x12 #2,2024-03-21,395,510,585,535,515,500,785
West,2x4 #1,2024-03-28,430,350,420,420,485,390,450
West,2x6 #1,2024-03-28,340,385,415,400,415,360,400
West,2x8 #1,2024-03-28,380,410,420,375,390,370,450
West,2x10 #1,2024-03-28,320,400,380,310,365,295,635
West,2x12 #1,2024-03-28,710,685,630,600,665,665,860
West,2x4 #2,2024-03-28,415,325,335,355,400,310,375
West,2x6 #2,2024-03-28,320,360,390,370,385,345,370
West,2x8 #2,2024-03-28,330,330,355,370,380,355,380
West,2x10 #2,2024-03-28,250,275,285,290,290,225,265
West,2x12 #2,2024-03-28,545,610,615,590,590,595,815
Central,2x4 #1,2024-03-28,415,375,390,425,455,410,430
Central,2x6 #1,2024-03-28,315,375,390,390,400,375,375
Central,2x8 #1,2024-03-28,370,430,415,365,390,370,440
Central,2x10 #1,2024-03-28,325,485,400,345,365,380,650
Central,2x12 #1,2024-03-28,645,685,630,565,645,660,800
Central,2x4 #2,2024-03-28,400,320,325,355,380,340,355
Central,2x6 #2,2024-03-28,265,340,360,365,355,350,345
Central,2x8 #2,2024-03-28,300,310,345,355,355,320,340
Central,2x10 #2,2024-03-28,240,300,305,305,310,255,285
Central,2x12 #2,2024-03-28,410,530,600,540,545,535,785
East,2x4 #1,2024-03-28,450,385,375,435,420,395,420
East,2x6 #1,2024-03-28,365,365,380,370,410,355,345
East,2x8 #1,2024-03-28,440,445,460,375,395,395,460
East,2x10 #1,2024-03-28,400,450,400,380,390,385,670
East,2x12 #1,2024-03-28,605,605,600,575,620,650,860
East,2x4 #2,2024-03-28,435,370,365,415,410,380,375
East,2x6 #2,2024-03-28,295,355,370,355,385,350,315
East,2x8 #2,2024-03-28,355,365,380,365,375,335,355
East,2x10 #2,2024-03-28,250,340,345,365,340,310,330
East,2x12 #2,2024-03-28,395,510,585,535,515,500,785
Central,2x4 #1,2024-04-04,415,365,380,410,445,395,425
Central,2x6 #1,2024-04-04,305,365,375,370,385,360,365
Central,2x8 #1,2024-04-04,355,415,395,340,360,350,435
Central,2x10 #1,2024-04-04,325,470,390,345,365,380,610
Central,2x12 #1,2024-04-04,620,660,605,545,620,660,800
Central,2x4 #2,2024-04-04,390,300,300,335,355,320,335
Central,2x6 #2,2024-04-04,250,315,340,345,330,325,320
Central,2x8 #2,2024-04-04,285,295,330,335,340,305,325
Central,2x10 #2,2024-04-04,240,300,305,305,305,255,285
Central,2x12 #2,2024-04-04,390,505,570,515,525,515,775
West,2x4 #1,2024-04-04,410,330,400,400,465,370,430
West,2x6 #1,2024-04-04,320,365,395,380,395,340,380
West,2x8 #1,2024-04-04,370,400,410,365,380,360,440
West,2x10 #1,2024-04-04,320,400,380,310,365,285,610
West,2x12 #1,2024-04-04,690,665,610,580,645,645,840
West,2x4 #2,2024-04-04,390,300,310,330,375,285,350
West,2x6 #2,2024-04-04,300,340,370,350,365,325,350
West,2x8 #2,2024-04-04,320,320,345,360,370,345,370
West,2x10 #2,2024-04-04,250,275,285,290,290,225,265
West,2x12 #2,2024-04-04,525,590,595,570,565,570,780
East,2x4 #1,2024-04-04,440,370,360,425,405,380,410
East,2x6 #1,2024-04-04,360,355,365,355,410,345,345
East,2x8 #1,2024-04-04,425,440,435,360,390,385,460
East,2x10 #1,2024-04-04,390,440,395,380,390,375,670
East,2x12 #1,2024-04-04,605,590,590,575,610,635,860
East,2x4 #2,2024-04-04,430,355,350,400,395,370,365
East,2x6 #2,2024-04-04,285,340,360,345,370,340,305
East,2x8 #2,2024-04-04,345,350,360,350,360,320,340
East,2x10 #2,2024-04-04,250,335,340,360,335,305,325
East,2x12 #2,2024-04-04,375,490,560,515,490,495,785
West,2x4 #1,2024-04-11,385,305,375,375,440,345,405
West,2x6 #1,2024-04-11,300,345,375,360,375,320,360
West,2x8 #1,2024-04-11,355,385,395,350,365,345,425
West,2x10 #1,2024-04-11,320,400,380,310,365,285,590
West,2x12 #1,2024-04-11,670,645,590,560,625,625,820
West,2x4 #2,2024-04-11,370,270,280,305,350,265,325
West,2x6 #2,2024-04-11,280,320,350,330,345,305,330
West,2x8 #2,2024-04-11,305,305,330,345,355,330,355
West,2x10 #2,2024-04-11,250,275,285,290,290,225,265
West,2x12 #2,2024-04-11,500,565,570,545,540,545,755
Central,2x4 #1,2024-04-11,400,350,360,390,410,375,410
Central,2x6 #1,2024-04-11,305,345,360,355,370,355,355
Central,2x8 #1,2024-04-11,345,390,380,325,345,340,430
Central,2x10 #1,2024-04-11,325,455,370,345,360,375,595
Central,2x12 #1,2024-04-11,580,620,585,520,580,650,800
Central,2x4 #2,2024-04-11,370,275,285,310,335,295,315
Central,2x6 #2,2024-04-11,235,295,320,325,310,305,300
Central,2x8 #2,2024-04-11,265,285,315,320,325,290,310
Central,2x10 #2,2024-04-11,240,300,305,300,300,245,275
Central,2x12 #2,2024-04-11,365,480,545,485,495,490,760
East,2x4 #1,2024-04-11,440,360,350,415,390,365,390
East,2x6 #1,2024-04-11,360,345,350,340,395,345,345
East,2x8 #1,2024-04-11,415,425,405,345,380,375,445
East,2x10 #1,2024-04-11,380,430,385,380,385,360,670
East,2x12 #1,2024-04-11,605,575,580,565,600,625,860
East,2x4 #2,2024-04-11,430,335,330,375,375,355,350
East,2x6 #2,2024-04-11,270,320,340,325,345,330,305
East,2x8 #2,2024-04-11,330,340,335,325,350,305,320
East,2x10 #2,2024-04-11,250,325,330,350,325,295,315
East,2x12 #2,2024-04-11,350,465,520,490,465,485,785
East,2x4 #1,2024-04-18,425,345,330,400,375,355,380
East,2x6 #1,2024-04-18,360,330,335,325,380,335,345
East,2x8 #1,2024-04-18,400,410,375,330,360,360,430
East,2x10 #1,2024-04-18,370,420,365,380,375,360,660
East,2x12 #1,2024-04-18,590,535,540,525,575,625,845
East,2x4 #2,2024-04-18,415,310,310,350,355,340,335
East,2x6 #2,2024-04-18,250,300,315,315,320,315,290
East,2x8 #2,2024-04-18,310,320,315,310,325,285,300
East,2x10 #2,2024-04-18,250,320,325,340,315,290,315
East,2x12 #2,2024-04-18,325,420,480,450,430,450,750
Central,2x4 #1,2024-04-18,385,330,340,375,400,370,400
Central,2x6 #1,2024-04-18,295,335,350,345,360,355,355
Central,2x8 #1,2024-04-18,335,380,370,315,335,340,430
Central,2x10 #1,2024-04-18,325,445,360,325,350,375,595
Central,2x12 #1,2024-04-18,580,580,570,500,565,630,785
Central,2x4 #2,2024-04-18,350,270,270,295,320,280,300
Central,2x6 #2,2024-04-18,225,280,305,310,300,290,290
Central,2x8 #2,2024-04-18,250,270,300,305,310,280,295
Central,2x10 #2,2024-04-18,240,290,300,295,295,240,270
Central,2x12 #2,2024-04-18,330,445,515,450,460,460,730
West,2x4 #1,2024-04-18,365,285,355,355,420,325,385
West,2x6 #1,2024-04-18,290,335,365,350,365,310,350
West,2x8 #1,2024-04-18,345,375,385,340,355,335,415
West,2x10 #1,2024-04-18,320,390,370,310,365,285,580
West,2x12 #1,2024-04-18,640,615,560,530,595,595,790
West,2x4 #2,2024-04-18,350,250,260,285,330,250,310
West,2x6 #2,2024-04-18,265,305,335,315,330,290,315
West,2x8 #2,2024-04-18,295,295,320,335,345,320,345
West,2x10 #2,2024-04-18,250,275,285,290,290,225,265
West,2x12 #2,2024-04-18,470,535,540,515,510,515,725
West,2x4 #1,2024-04-25,355,275,345,345,410,315,375
West,2x6 #1,2024-04-25,285,330,360,345,360,305,345
West,2x8 #1,2024-04-25,340,370,380,335,350,330,410
West,2x10 #1,2024-04-25,330,400,380,315,365,285,560
West,2x12 #1,2024-04-25,610,585,530,500,545,545,740
West,2x4 #2,2024-04-25,340,250,260,280,320,250,300
West,2x6 #2,2024-04-25,260,300,330,305,320,285,310
West,2x8 #2,2024-04-25,290,290,315,330,340,315,340
West,2x10 #2,2024-04-25,260,285,295,300,300,235,275
West,2x12 #2,2024-04-25,440,505,510,485,480,485,675
Central,2x4 #1,2024-04-25,385,330,340,375,400,370,400
Central,2x6 #1,2024-04-25,295,325,345,330,350,340,355
Central,2x8 #1,2024-04-25,330,380,370,320,325,340,420
Central,2x10 #1,2024-04-25,325,445,360,325,355,365,580
Central,2x12 #1,2024-04-25,550,545,545,465,535,595,755
Central,2x4 #2,2024-04-25,335,270,270,295,320,280,300
Central,2x6 #2,2024-04-25,225,280,305,310,300,290,290
Central,2x8 #2,2024-04-25,260,270,300,305,305,285,295
Central,2x10 #2,2024-04-25,245,300,305,300,300,250,270
Central,2x12 #2,2024-04-25,310,415,485,425,435,445,705
East,2x4 #1,2024-04-25,415,330,320,375,365,345,360
East,2x6 #1,2024-04-25,360,330,335,325,370,325,345
East,2x8 #1,2024-04-25,380,400,360,320,355,345,425
East,2x10 #1,2024-04-25,370,420,365,380,375,340,655
East,2x12 #1,2024-04-25,580,510,520,500,550,620,845
East,2x4 #2,2024-04-25,400,300,300,340,350,325,320
East,2x6 #2,2024-04-25,250,300,305,310,315,305,285
East,2x8 #2,2024-04-25,305,320,305,310,325,280,295
East,2x10 #2,2024-04-25,250,320,330,340,315,290,315
East,2x12 #2,2024-04-25,305,395,450,425,405,430,740
West,2x4 #1,2024-05-02,355,275,345,345,410,315,375
West,2x6 #1,2024-05-02,285,330,360,345,360,305,345
West,2x8 #1,2024-05-02,340,370,380,335,350,330,410
West,2x10 #1,2024-05-02,330,400,380,315,365,285,560
West,2x12 #1,2024-05-02,570,545,490,460,505,505,700
West,2x4 #2,2024-05-02,340,250,260,280,320,250,300
West,2x6 #2,2024-05-02,260,300,330,305,320,285,310
