region,item_description,transaction_date,dimension,grade,length_ft,rl_price_per_mbf,assumption_equal_length,source_grade_group
central,2x10 #3,2025-07-11,2x10,3,8,235,True,G3_4
central,2x10 #3,2025-07-18,2x10,3,8,235,True,G3_4
central,2x10 #3,2025-07-25,2x10,3,8,235,True,G3_4
central,2x10 #3,2025-08-01,2x10,3,8,235,True,G3_4
central,2x10 #3,2025-08-08,2x10,3,8,230,True,G3_4
central,2x10 #3,2025-08-15,2x10,3,8,225,True,G3_4
central,2x10 #3,2025-08-22,2x10,3,8,225,True,G3_4
central,2x10 #3,2025-08-29,2x10,3,8,220,True,G3_4
central,2x10 #3,2025-09-05,2x10,3,8,215,True,G3_4
central,2x10 #3,2025-09-12,2x10,3,8,215,True,G3_4
central,2x10 #3,2025-09-19,2x10,3,8,215,True,G3_4
central,2x10 #3,2025-09-26,2x10,3,8,215,True,G3_4
central,2x10 #3,2025-10-03,2x10,3,8,215,True,G3_4
central,2x10 #3,2025-10-10,2x10,3,8,210,True,G3_4
central,2x10 #3,2025-10-17,2x10,3,8,210,True,G3_4
central,2x10 #3,2024-01-12,2x10,3,10,195,True,G3_4
central,2x10 #3,2024-01-18,2x10,3,10,195,True,G3_4
central,2x10 #3,2024-01-25,2x10,3,10,190,True,G3_4
central,2x10 #3,2024-02-08,2x10,3,10,190,True,G3_4
central,2x10 #3,2024-02-15,2x10,3,10,190,True,G3_4
central,2x10 #3,2024-02-22,2x10,3,10,195,True,G3_4
central,2x10 #3,2024-02-29,2x10,3,10,195,True,G3_4
central,2x10 #3,2024-03-07,2x10,3,10,200,True,G3_4
central,2x10 #3,2024-03-14,2x10,3,10,205,True,G3_4
central,2x10 #3,2024-03-21,2x10,3,10,205,True,G3_4
central,2x10 #3,2024-03-28,2x10,3,10,205,True,G3_4
central,2x10 #3,2024-04-04,2x10,3,10,210,True,G3_4
central,2x10 #3,2024-04-11,2x10,3,10,210,True,G3_4
central,2x10 #3,2024-04-18,2x10,3,10,215,True,G3_4
central,2x10 #3,2024-04-25,2x10,3,10,215,True,G3_4
central,2x10 #3,2024-05-02,2x10,3,10,215,True,G3_4
central,2x10 #3,2024-05-09,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-05-16,2x10,3,10,225,True,G3_4
central,2x10 #3,2024-05-30,2x10,3,10,225,True,G3_4
central,2x10 #3,2024-06-06,2x10,3,10,225,True,G3_4
central,2x10 #3,2024-06-13,2x10,3,10,225,True,G3_4
central,2x10 #3,2024-06-20,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-06-27,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-07-04,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-07-11,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-07-18,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-07-25,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-08-01,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-08-08,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-08-15,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-08-22,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-08-29,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-09-05,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-09-12,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-09-20,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-09-27,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-10-04,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-10-11,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-10-18,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-10-25,2x10,3,10,230,True,G3_4
central,2x10 #3,2024-11-01,2x10,3,10,230,True,G3_4
central,2x10 #3,2024-11-08,2x10,3,10,230,True,G3_4
central,2x10 #3,2024-11-15,2x10,3,10,230,True,G3_4
central,2x10 #3,2024-11-22,2x10,3,10,225,True,G3_4
central,2x10 #3,2024-11-27,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-12-06,2x10,3,10,220,True,G3_4
central,2x10 #3,2024-12-13,2x10,3,10,210,True,G3_4
central,2x10 #3,2024-12-20,2x10,3,10,210,True,G3_4
central,2x10 #3,2025-01-03,2x10,3,10,215,True,G3_4
central,2x10 #3,2025-01-10,2x10,3,10,215,True,G3_4
central,2x10 #3,2025-01-17,2x10,3,10,215,True,G3_4
central,2x10 #3,2025-01-24,2x10,3,10,215,True,G3_4
central,2x10 #3,2025-01-31,2x10,3,10,220,True,G3_4
central,2x10 #3,2025-02-07,2x10,3,10,225,True,G3_4
central,2x10 #3,2025-02-14,2x10,3,10,225,True,G3_4
central,2x10 #3,2025-02-21,2x10,3,10,230,True,G3_4
central,2x10 #3,2025-02-28,2x10,3,10,230,True,G3_4
central,2x10 #3,2025-03-07,2x10,3,10,235,True,G3_4
central,2x10 #3,2025-03-14,2x10,3,10,240,True,G3_4
central,2x10 #3,2025-03-21,2x10,3,10,250,True,G3_4
central,2x10 #3,2025-03-28,2x10,3,10,255,True,G3_4
central,2x10 #3,2025-04-04,2x10,3,10,260,True,G3_4
central,2x10 #3,2025-04-11,2x10,3,10,270,True,G3_4
central,2x10 #3,2025-04-18,2x10,3,10,275,True,G3_4
central,2x10 #3,2025-04-25,2x10,3,10,280,True,G3_4
central,2x10 #3,2025-05-02,2x10,3,10,285,True,G3_4
central,2x10 #3,2025-05-09,2x10,3,10,285,True,G3_4
central,2x10 #3,2025-05-16,2x10,3,10,270,True,G3_4
central,2x10 #3,2025-05-23,2x10,3,10,260,True,G3_4
central,2x10 #3,2025-05-30,2x10,3,10,255,True,G3_4
central,2x10 #3,2025-06-06,2x10,3,10,250,True,G3_4
central,2x10 #3,2025-06-13,2x10,3,10,250,True,G3_4
central,2x10 #3,2025-06-19,2x10,3,10,245,True,G3_4
central,2x10 #3,2025-06-27,2x10,3,10,245,True,G3_4
central,2x10 #3,2025-07-03,2x10,3,10,240,True,G3_4
central,2x10 #3,2025-07-11,2x10,3,10,235,True,G3_4
central,2x10 #3,2025-07-18,2x10,3,10,235,True,G3_4
central,2x10 #3,2025-07-25,2x10,3,10,235,True,G3_4
central,2x10 #3,2025-08-01,2x10,3,10,235,True,G3_4
central,2x10 #3,2025-08-08,2x10,3,10,230,True,G3_4
central,2x10 #3,2025-08-15,2x10,3,10,225,True,G3_4
central,2x10 #3,2025-08-22,2x10,3,10,225,True,G3_4
central,2x10 #3,2025-08-29,2x10,3,10,220,True,G3_4
central,2x10 #3,2025-09-05,2x10,3,10,215,True,G3_4
central,2x10 #3,2025-09-12,2x10,3,10,215,True,G3_4
central,2x10 #3,2025-09-19,2x10,3,10,215,True,G3_4
central,2x10 #3,2025-09-26,2x10,3,10,215,True,G3_4
central,2x10 #3,2025-10-03,2x10,3,10,215,True,G3_4
central,2x10 #3,2025-10-10,2x10,3,10,210,True,G3_4
central,2x10 #3,2025-10-17,2x10,3,10,210,True,G3_4
central,2x10 #3,2024-01-12,2x10,3,12,195,True,G3_4
central,2x10 #3,2024-01-18,2x10,3,12,195,True,G3_4
central,2x10 #3,2024-01-25,2x10,3,12,190,True,G3_4
central,2x10 #3,2024-02-08,2x10,3,12,190,True,G3_4
central,2x10 #3,2024-02-15,2x10,3,12,190,True,G3_4
central,2x10 #3,2024-02-22,2x10,3,12,195,True,G3_4
central,2x10 #3,2024-02-29,2x10,3,12,195,True,G3_4
central,2x10 #3,2024-03-07,2x10,3,12,200,True,G3_4
central,2x10 #3,2024-03-14,2x10,3,12,205,True,G3_4
central,2x10 #3,2024-03-21,2x10,3,12,205,True,G3_4
central,2x10 #3,2024-03-28,2x10,3,12,205,True,G3_4
central,2x10 #3,2024-04-04,2x10,3,12,210,True,G3_4
central,2x10 #3,2024-04-11,2x10,3,12,210,True,G3_4
central,2x10 #3,2024-04-18,2x10,3,12,215,True,G3_4
central,2x10 #3,2024-04-25,2x10,3,12,215,True,G3_4
central,2x10 #3,2024-05-02,2x10,3,12,215,True,G3_4
central,2x10 #3,2024-05-09,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-05-16,2x10,3,12,225,True,G3_4
central,2x10 #3,2024-05-30,2x10,3,12,225,True,G3_4
central,2x10 #3,2024-06-06,2x10,3,12,225,True,G3_4
central,2x10 #3,2024-06-13,2x10,3,12,225,True,G3_4
central,2x10 #3,2024-06-20,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-06-27,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-07-04,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-07-11,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-07-18,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-07-25,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-08-01,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-08-08,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-08-15,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-08-22,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-08-29,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-09-05,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-09-12,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-09-20,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-09-27,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-10-04,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-10-11,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-10-18,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-10-25,2x10,3,12,230,True,G3_4
central,2x10 #3,2024-11-01,2x10,3,12,230,True,G3_4
central,2x10 #3,2024-11-08,2x10,3,12,230,True,G3_4
central,2x10 #3,2024-11-15,2x10,3,12,230,True,G3_4
central,2x10 #3,2024-11-22,2x10,3,12,225,True,G3_4
central,2x10 #3,2024-11-27,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-12-06,2x10,3,12,220,True,G3_4
central,2x10 #3,2024-12-13,2x10,3,12,210,True,G3_4
central,2x10 #3,2024-12-20,2x10,3,12,210,True,G3_4
central,2x10 #3,2025-01-03,2x10,3,12,215,True,G3_4
central,2x10 #3,2025-01-10,2x10,3,12,215,True,G3_4
central,2x10 #3,2025-01-17,2x10,3,12,215,True,G3_4
central,2x10 #3,2025-01-24,2x10,3,12,215,True,G3_4
central,2x10 #3,2025-01-31,2x10,3,12,220,True,G3_4
central,2x10 #3,2025-02-07,2x10,3,12,225,True,G3_4
central,2x10 #3,2025-02-14,2x10,3,12,225,True,G3_4
central,2x10 #3,2025-02-21,2x10,3,12,230,True,G3_4
central,2x10 #3,2025-02-28,2x10,3,12,230,True,G3_4
central,2x10 #3,2025-03-07,2x10,3,12,235,True,G3_4
central,2x10 #3,2025-03-14,2x10,3,12,240,True,G3_4
central,2x10 #3,2025-03-21,2x10,3,12,250,True,G3_4
central,2x10 #3,2025-03-28,2x10,3,12,255,True,G3_4
central,2x10 #3,2025-04-04,2x10,3,12,260,True,G3_4
central,2x10 #3,2025-04-11,2x10,3,12,270,True,G3_4
central,2x10 #3,2025-04-18,2x10,3,12,275,True,G3_4
central,2x10 #3,2025-04-25,2x10,3,12,280,True,G3_4
central,2x10 #3,2025-05-02,2x10,3,12,285,True,G3_4
central,2x10 #3,2025-05-09,2x10,3,12,285,True,G3_4
central,2x10 #3,2025-05-16,2x10,3,12,270,True,G3_4
central,2x10 #3,2025-05-23,2x10,3,12,260,True,G3_4
central,2x10 #3,2025-05-30,2x10,3,12,255,True,G3_4
central,2x10 #3,2025-06-06,2x10,3,12,250,True,G3_4
central,2x10 #3,2025-06-13,2x10,3,12,250,True,G3_4
central,2x10 #3,2025-06-19,2x10,3,12,245,True,G3_4
central,2x10 #3,2025-06-27,2x10,3,12,245,True,G3_4
central,2x10 #3,2025-07-03,2x10,3,12,240,True,G3_4
central,2x10 #3,2025-07-11,2x10,3,12,235,True,G3_4
central,2x10 #3,2025-07-18,2x10,3,12,235,True,G3_4
central,2x10 #3,2025-07-25,2x10,3,12,235,True,G3_4
central,2x10 #3,2025-08-01,2x10,3,12,235,True,G3_4
central,2x10 #3,2025-08-08,2x10,3,12,230,True,G3_4
central,2x10 #3,2025-08-15,2x10,3,12,225,True,G3_4
central,2x10 #3,2025-08-22,2x10,3,12,225,True,G3_4
central,2x10 #3,2025-08-29,2x10,3,12,220,True,G3_4
central,2x10 #3,2025-09-05,2x10,3,12,215,True,G3_4
central,2x10 #3,2025-09-12,2x10,3,12,215,True,G3_4
central,2x10 #3,2025-09-19,2x10,3,12,215,True,G3_4
central,2x10 #3,2025-09-26,2x10,3,12,215,True,G3_4
central,2x10 #3,2025-10-03,2x10,3,12,215,True,G3_4
central,2x10 #3,2025-10-10,2x10,3,12,210,True,G3_4
central,2x10 #3,2025-10-17,2x10,3,12,210,True,G3_4
central,2x10 #3,2024-01-12,2x10,3,14,195,True,G3_4
central,2x10 #3,2024-01-18,2x10,3,14,195,True,G3_4
central,2x10 #3,2024-01-25,2x10,3,14,190,True,G3_4
central,2x10 #3,2024-02-08,2x10,3,14,190,True,G3_4
central,2x10 #3,2024-02-15,2x10,3,14,190,True,G3_4
central,2x10 #3,2024-02-22,2x10,3,14,195,True,G3_4
central,2x10 #3,2024-02-29,2x10,3,14,195,True,G3_4
central,2x10 #3,2024-03-07,2x10,3,14,200,True,G3_4
central,2x10 #3,2024-03-14,2x10,3,14,205,True,G3_4
central,2x10 #3,2024-03-21,2x10,3,14,205,True,G3_4
central,2x10 #3,2024-03-28,2x10,3,14,205,True,G3_4
central,2x10 #3,2024-04-04,2x10,3,14,210,True,G3_4
central,2x10 #3,2024-04-11,2x10,3,14,210,True,G3_4
central,2x10 #3,2024-04-18,2x10,3,14,215,True,G3_4
central,2x10 #3,2024-04-25,2x10,3,14,215,True,G3_4
central,2x10 #3,2024-05-02,2x10,3,14,215,True,G3_4
central,2x10 #3,2024-05-09,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-05-16,2x10,3,14,225,True,G3_4
central,2x10 #3,2024-05-30,2x10,3,14,225,True,G3_4
central,2x10 #3,2024-06-06,2x10,3,14,225,True,G3_4
central,2x10 #3,2024-06-13,2x10,3,14,225,True,G3_4
central,2x10 #3,2024-06-20,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-06-27,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-07-04,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-07-11,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-07-18,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-07-25,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-08-01,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-08-08,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-08-15,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-08-22,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-08-29,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-09-05,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-09-12,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-09-20,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-09-27,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-10-04,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-10-11,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-10-18,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-10-25,2x10,3,14,230,True,G3_4
central,2x10 #3,2024-11-01,2x10,3,14,230,True,G3_4
central,2x10 #3,2024-11-08,2x10,3,14,230,True,G3_4
central,2x10 #3,2024-11-15,2x10,3,14,230,True,G3_4
central,2x10 #3,2024-11-22,2x10,3,14,225,True,G3_4
central,2x10 #3,2024-11-27,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-12-06,2x10,3,14,220,True,G3_4
central,2x10 #3,2024-12-13,2x10,3,14,210,True,G3_4
central,2x10 #3,2024-12-20,2x10,3,14,210,True,G3_4
central,2x10 #3,2025-01-03,2x10,3,14,215,True,G3_4
central,2x10 #3,2025-01-10,2x10,3,14,215,True,G3_4
central,2x10 #3,2025-01-17,2x10,3,14,215,True,G3_4
central,2x10 #3,2025-01-24,2x10,3,14,215,True,G3_4
central,2x10 #3,2025-01-31,2x10,3,14,220,True,G3_4
central,2x10 #3,2025-02-07,2x10,3,14,225,True,G3_4
central,2x10 #3,2025-02-14,2x10,3,14,225,True,G3_4
central,2x10 #3,2025-02-21,2x10,3,14,230,True,G3_4
central,2x10 #3,2025-02-28,2x10,3,14,230,True,G3_4
central,2x10 #3,2025-03-07,2x10,3,14,235,True,G3_4
central,2x10 #3,2025-03-14,2x10,3,14,240,True,G3_4
central,2x10 #3,2025-03-21,2x10,3,14,250,True,G3_4
central,2x10 #3,2025-03-28,2x10,3,14,255,True,G3_4
central,2x10 #3,2025-04-04,2x10,3,14,260,True,G3_4
central,2x10 #3,2025-04-11,2x10,3,14,270,True,G3_4
central,2x10 #3,2025-04-18,2x10,3,14,275,True,G3_4
central,2x10 #3,2025-04-25,2x10,3,14,280,True,G3_4
central,2x10 #3,2025-05-02,2x10,3,14,285,True,G3_4
central,2x10 #3,2025-05-09,2x10,3,14,285,True,G3_4
central,2x10 #3,2025-05-16,2x10,3,14,270,True,G3_4
central,2x10 #3,2025-05-23,2x10,3,14,260,True,G3_4
central,2x10 #3,2025-05-30,2x10,3,14,255,True,G3_4
central,2x10 #3,2025-06-06,2x10,3,14,250,True,G3_4
central,2x10 #3,2025-06-13,2x10,3,14,250,True,G3_4
central,2x10 #3,2025-06-19,2x10,3,14,245,True,G3_4
central,2x10 #3,2025-06-27,2x10,3,14,245,True,G3_4
central,2x10 #3,2025-07-03,2x10,3,14,240,True,G3_4
central,2x10 #3,2025-07-11,2x10,3,14,235,True,G3_4
central,2x10 #3,2025-07-18,2x10,3,14,235,True,G3_4
central,2x10 #3,2025-07-25,2x10,3,14,235,True,G3_4
central,2x10 #3,2025-08-01,2x10,3,14,235,True,G3_4
central,2x10 #3,2025-08-08,2x10,3,14,230,True,G3_4
central,2x10 #3,2025-08-15,2x10,3,14,225,True,G3_4
central,2x10 #3,2025-08-22,2x10,3,14,225,True,G3_4
central,2x10 #3,2025-08-29,2x10,3,14,220,True,G3_4
central,2x10 #3,2025-09-05,2x10,3,14,215,True,G3_4
central,2x10 #3,2025-09-12,2x10,3,14,215,True,G3_4
central,2x10 #3,2025-09-19,2x10,3,14,215,True,G3_4
central,2x10 #3,2025-09-26,2x10,3,14,215,True,G3_4
central,2x10 #3,2025-10-03,2x10,3,14,215,True,G3_4
central,2x10 #3,2025-10-10,2x10,3,14,210,True,G3_4
central,2x10 #3,2025-10-17,2x10,3,14,210,True,G3_4
central,2x10 #3,2024-01-12,2x10,3,16,195,True,G3_4
central,2x10 #3,2024-01-18,2x10,3,16,195,True,G3_4
central,2x10 #3,2024-01-25,2x10,3,16,190,True,G3_4
central,2x10 #3,2024-02-08,2x10,3,16,190,True,G3_4
central,2x10 #3,2024-02-15,2x10,3,16,190,True,G3_4
central,2x10 #3,2024-02-22,2x10,3,16,195,True,G3_4
central,2x10 #3,2024-02-29,2x10,3,16,195,True,G3_4
central,2x10 #3,2024-03-07,2x10,3,16,200,True,G3_4
central,2x10 #3,2024-03-14,2x10,3,16,205,True,G3_4
central,2x10 #3,2024-03-21,2x10,3,16,205,True,G3_4
central,2x10 #3,2024-03-28,2x10,3,16,205,True,G3_4
central,2x10 #3,2024-04-04,2x10,3,16,210,True,G3_4
central,2x10 #3,2024-04-11,2x10,3,16,210,True,G3_4
central,2x10 #3,2024-04-18,2x10,3,16,215,True,G3_4
central,2x10 #3,2024-04-25,2x10,3,16,215,True,G3_4
central,2x10 #3,2024-05-02,2x10,3,16,215,True,G3_4
central,2x10 #3,2024-05-09,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-05-16,2x10,3,16,225,True,G3_4
central,2x10 #3,2024-05-30,2x10,3,16,225,True,G3_4
central,2x10 #3,2024-06-06,2x10,3,16,225,True,G3_4
central,2x10 #3,2024-06-13,2x10,3,16,225,True,G3_4
central,2x10 #3,2024-06-20,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-06-27,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-07-04,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-07-11,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-07-18,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-07-25,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-08-01,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-08-08,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-08-15,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-08-22,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-08-29,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-09-05,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-09-12,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-09-20,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-09-27,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-10-04,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-10-11,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-10-18,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-10-25,2x10,3,16,230,True,G3_4
central,2x10 #3,2024-11-01,2x10,3,16,230,True,G3_4
central,2x10 #3,2024-11-08,2x10,3,16,230,True,G3_4
central,2x10 #3,2024-11-15,2x10,3,16,230,True,G3_4
central,2x10 #3,2024-11-22,2x10,3,16,225,True,G3_4
central,2x10 #3,2024-11-27,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-12-06,2x10,3,16,220,True,G3_4
central,2x10 #3,2024-12-13,2x10,3,16,210,True,G3_4
central,2x10 #3,2024-12-20,2x10,3,16,210,True,G3_4
central,2x10 #3,2025-01-03,2x10,3,16,215,True,G3_4
central,2x10 #3,2025-01-10,2x10,3,16,215,True,G3_4
central,2x10 #3,2025-01-17,2x10,3,16,215,True,G3_4
central,2x10 #3,2025-01-24,2x10,3,16,215,True,G3_4
central,2x10 #3,2025-01-31,2x10,3,16,220,True,G3_4
central,2x10 #3,2025-02-07,2x10,3,16,225,True,G3_4
central,2x10 #3,2025-02-14,2x10,3,16,225,True,G3_4
central,2x10 #3,2025-02-21,2x10,3,16,230,True,G3_4
central,2x10 #3,2025-02-28,2x10,3,16,230,True,G3_4
central,2x10 #3,2025-03-07,2x10,3,16,235,True,G3_4
central,2x10 #3,2025-03-14,2x10,3,16,240,True,G3_4
central,2x10 #3,2025-03-21,2x10,3,16,250,True,G3_4
central,2x10 #3,2025-03-28,2x10,3,16,255,True,G3_4
